Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Emmanuel College,6623,4006,515,93,18,500,590,21,26,0,60,34670,51363,51363,Massachusetts,New England,Private,Large City,2176,1857,319,5,5,73,51,57,58,99,99,30,26
Emory & Henry College,1663,1093,267,77,47,430,560,18,25,0,66,28966,41866,41866,Virginia,Southeast,Private,Fringe Rural,936,889,47,10,2,48,33,47,48,100,100,40,40
Emory University,17475,4602,1363,76,45,620,710,29,32,427,26,44008,59908,59908,Georgia,Southeast,Private,Large Suburb,7836,7676,160,9,6,57,84,89,91,53,47,19,19
Emporia State University,2452,1488,696,1,84,438,528,19,25,0,61,5614,17257,29031,Kansas,Plains,Public,Remote Town,3873,3445,428,5,6,60,20,35,41,96,87,41,41
Endicott College,3675,2633,629,99,26,480,570,21,25,15,72,28926,45536,45536,Massachusetts,New England,Private,Large Suburb,2724,2430,294,2,4,60,65,69,70,94,89,17,17
Erskine College,750,523,194,76,67,450,550,19,24,0,70,31580,47610,47610,South Carolina,Southeast,Private,Distant Rural,605,565,40,9,4,48,52,55,56,100,100,45,45
Eureka College,960,651,138,8,92,565,665,19,26,0,68,20060,30900,30900,Illinois,Great Lakes,Private,Fringe Town,692,644,48,5,3,59,43,61,61,100,100,43,43
Evangel University,1379,886,460,28,80,440,600,19,26,48,64,20040,32183,32183,Missouri,Plains,Private,Midsize City,2077,1887,190,4,5,56,35,51,51,98,91,43,42
Fairmont State University,2799,1861,757,15,85,410,520,18,23,112,66,5824,17310,23774,West Virginia,Southeast,Public,Distant Town,3966,3435,531,5,2,55,14,30,34,93,76,49,49
Farmingdale State College,5401,2843,1190,93,19,430,510,19,23,417,53,7125,22185,31635,New York,Mid East,Public,Large Suburb,8162,6074,2088,10,15,42,21,41,43,68,51,33,33
Fayetteville State University,4010,2204,612,89,7,380,450,17,19,0,55,4605,14854,25650,North Carolina,Southeast,Public,Midsize City,5410,3971,1439,66,6,69,12,27,32,96,94,78,78
Felician College,1567,1382,153,90,8,390,480,15,23,11,88,29990,45800,45800,New Jersey,Mid East,Private,Large Suburb,1621,1340,281,20,24,72,24,43,46,100,98,69,69
Ferrum College,3272,2425,569,91,24,390,490,14,20,0,74,28585,40627,40627,Virginia,Southeast,Private,Distant Rural,1512,1492,20,32,5,43,20,32,32,100,100,63,63
Fisk University,3334,1323,226,43,62,420,430,17,18,0,40,20449,35899,35899,Tennessee,Southeast,Private,Large City,611,589,22,87,1,66,41,49,52,98,95,62,62
Fitchburg State University,3528,2544,759,96,9,440,540,18,22,0,72,8985,20690,26770,Massachusetts,New England,Public,Midsize Suburb,4245,3438,807,5,9,56,20,44,50,90,68,38,38
Flagler College-St Augustine,5396,2691,708,72,51,540,580,21,25,0,50,16180,29560,29560,Florida,Southeast,Private,Small Suburb,2839,2746,93,4,8,59,46,62,63,85,81,32,31
Florida Agricultural and Mechanical University,5029,2263,1145,27,73,430,520,18,22,102,45,5785,19545,31485,Florida,Southeast,Public,Midsize City,8930,8040,890,94,1,61,12,29,41,95,86,68,68
Florida Atlantic University,24889,11880,3479,62,38,480,560,20,24,297,48,4790,21583,34027,Florida,Southeast,Public,Small City,25790,15891,9899,18,25,56,15,33,41,87,81,39,39
Florida College,383,225,196,47,69,470,590,20,26,110,59,14490,26750,26750,Florida,Southeast,Private,Large Suburb,558,533,25,6,6,50,9,9,9,94,85,35,35
Florida Gulf Coast University,10804,7108,2761,83,67,470,550,20,24,299,66,6118,19102,38424,Florida,Southeast,Public,Large Suburb,12907,10151,2756,7,19,56,22,38,44,81,73,35,35
Florida Institute of Technology,7820,4727,783,53,38,500,610,23,28,0,60,36020,52690,52690,Florida,Southeast,Private,Small City,3257,3068,189,5,6,27,39,52,54,95,95,22,21
Florida International University,16549,7122,2990,70,30,540,620,24,27,89,43,6496,22968,35367,Florida,Southeast,Public,Large Suburb,39142,25954,13188,12,67,55,20,41,52,91,87,53,53
Florida Southern College,4963,2476,635,82,60,490,590,22,27,0,50,28580,40700,40700,Florida,Southeast,Private,Small City,2416,2126,290,6,9,61,47,57,58,99,99,33,33
Florida State University,29579,16803,6048,44,56,560,640,25,29,133,57,6507,21543,36709,Florida,Southeast,Public,Midsize City,32528,28910,3618,9,17,55,57,74,77,95,93,27,27
Fontbonne University,676,441,160,8,89,490,600,21,25,0,65,22684,33896,33896,Missouri,Plains,Private,Large Suburb,1328,956,372,17,2,67,3,19,41,92,91,26,24
Fordham University,36189,17055,1967,82,34,570,670,26,30,0,47,43902,63438,63438,New York,Mid East,Private,Large City,8345,7694,651,4,14,54,76,80,81,92,92,20,20
Fort Lewis College,2560,2240,876,23,87,470,570,20,25,3,88,6923,22393,33233,Colorado,Rocky Mountains,Public,Remote Town,3984,3670,314,1,9,49,17,33,37,91,81,32,31
Framingham State University,5433,2807,826,98,2,470,560,19,25,0,52,8080,22804,28884,Massachusetts,New England,Public,Small City,4584,3884,700,8,9,63,33,47,51,93,84,31,30
Francis Marion University,3951,2239,744,49,47,410,530,17,22,0,57,9386,20923,29901,South Carolina,Southeast,Public,Small Suburb,3714,3316,398,49,1,69,16,34,41,99,95,65,65
Franciscan University of Steubenville,1889,1437,460,51,53,540,650,23,28,26,76,23160,34490,34490,Ohio,Great Lakes,Private,Small City,2112,1989,123,0,10,62,61,69,71,97,94,25,25
Franklin College,2221,1333,296,88,52,450,550,19,24,0,60,27695,40035,40035,Indiana,Great Lakes,Private,Large Suburb,1014,952,62,4,1,50,53,57,57,100,100,42,42
Franklin Pierce University,3546,3004,538,95,6,440,530,16,21,24,85,31000,45898,45898,New Hampshire,New England,Private,Fringe Rural,1671,1465,206,4,5,56,39,44,44,100,100,31,30
Freed-Hardeman University,1042,959,356,16,94,480,600,21,27,0,92,20468,32908,32908,Tennessee,Southeast,Private,Distant Town,1385,1262,123,5,1,58,38,50,52,100,100,34,31
Fresno Pacific University,705,553,212,98,39,440,550,18,22,0,78,25716,36991,36991,California,Far West,Private,Large City,2586,2137,449,5,40,68,43,53,54,99,99,55,55
Friends University,737,432,184,14,80,350,490,18,24,33,59,23430,36005,36005,Kansas,Plains,Private,Large City,1609,1045,564,10,4,56,13,32,32,100,99,44,44
Frostburg State University,3872,2302,895,92,17,430,530,18,22,0,59,7728,20046,30694,Maryland,Mid East,Public,Small Suburb,4703,4192,511,27,4,49,22,41,47,83,61,36,36
Furman University,5953,3808,759,65,53,550,670,25,30,0,64,43164,57276,57276,South Carolina,Southeast,Private,Large Suburb,2797,2677,120,5,3,57,80,84,84,86,83,14,14
Gallaudet University,520,341,201,12,95,348,435,15,20,0,66,13800,31988,31988,District of Columbia,Mid East,Private,Large City,1077,1006,71,11,14,54,16,42,48,88,87,48,48
Gannon University,3983,3203,622,82,38,460,560,20,26,23,80,27546,41820,41820,Pennsylvania,Mid East,Private,Midsize City,3111,2556,555,4,2,57,48,62,64,100,97,37,36
Gardner-Webb University,5481,2640,435,77,51,440,550,19,25,44,48,25830,37620,37620,North Carolina,Southeast,Private,Distant Town,2587,2089,498,16,2,65,43,55,55,100,98,39,39
Geneva College,1670,1136,334,85,37,470,590,20,26,20,68,25220,36520,36520,Pennsylvania,Mid East,Private,Large Suburb,1541,1475,66,6,1,52,59,66,67,100,99,37,34
George Fox University,2431,1830,624,83,39,470,600,20,26,0,75,31120,43800,43800,Oregon,Far West,Private,Fringe Town,2384,2108,276,2,7,57,52,61,62,99,97,35,35
George Mason University,20805,12905,3011,75,13,520,620,24,28,0,62,9908,25335,44019,Virginia,Southeast,Public,Large Suburb,21990,17261,4729,10,11,52,43,61,67,66,44,24,24
George Washington University,21756,7197,2387,75,37,600,690,27,31,192,33,47343,61446,61446,District of Columbia,Mid East,Private,Large City,10357,9609,748,7,7,55,76,80,81,68,65,14,12
Georgetown College,1735,1426,238,8,95,410,610,21,26,0,82,32310,44110,44110,Kentucky,Southeast,Private,Fringe Town,1043,1000,43,10,3,54,49,51,57,98,98,37,37
Georgetown University,20115,3413,1570,87,35,650,750,29,33,0,17,44805,62179,62179,District of Columbia,Mid East,Private,Large City,7636,7300,336,6,8,55,88,91,92,53,42,14,14
Georgia College and State University,4051,2754,1392,65,59,530,610,22,26,0,68,8790,23752,41652,Georgia,Southeast,Public,Distant Town,5729,5264,465,5,5,60,39,58,61,95,91,19,19
Georgia Institute of Technology-Main Campus,14645,8045,3044,88,53,600,700,28,32,0,55,10650,23384,42688,Georgia,Southeast,Public,Large City,14558,13291,1267,6,6,33,41,76,82,72,67,14,14
Georgia Southern University,10525,5473,3604,75,52,520,590,21,25,0,52,6071,22269,32335,Georgia,Southeast,Public,Remote Town,17904,15762,2142,26,4,50,26,45,50,89,77,36,36
Georgia Southwestern State University,1245,847,376,68,31,440,520,18,22,0,68,5035,19063,28825,Georgia,Southeast,Public,Distant Town,2667,1870,797,29,3,64,15,30,36,91,82,50,50
Georgia State University,13890,7592,3460,86,45,480,580,20,25,0,55,8368,24448,39016,Georgia,Southeast,Public,Large City,24868,18410,6458,40,9,58,21,44,53,91,84,56,56
Gettysburg College,5453,2270,703,78,9,600,690,27,29,0,42,45870,58320,58320,Pennsylvania,Mid East,Private,Small City,2524,2517,7,3,4,52,80,84,84,74,69,14,14
Glenville State College,1198,892,315,18,77,360,480,16,21,31,74,6384,21300,29316,West Virginia,Southeast,Public,Remote Town,1850,1114,736,13,1,43,13,25,30,96,91,64,64
Gonzaga University,6991,4650,1096,80,53,540,640,25,29,0,67,35062,48530,48530,Washington,Far West,Private,Midsize City,4896,4826,70,1,8,54,71,81,82,99,99,15,15
Gordon College,4009,1657,481,89,21,516,653,22,29,0,41,33230,44860,44860,Massachusetts,New England,Private,Large Suburb,1710,1668,42,3,7,62,58,70,71,99,99,25,25
Goshen College,770,424,167,68,38,470,620,21,30,0,55,28500,40760,40760,Indiana,Great Lakes,Private,Small City,828,745,83,4,11,57,54,68,70,100,100,33,32
Grace College and Theological Seminary,3450,2720,347,68,54,457,580,20,26,15,79,23970,33940,33940,Indiana,Great Lakes,Private,Distant Town,1615,1274,341,3,3,59,54,61,61,100,100,42,42
Grace University,260,152,96,14,82,400,465,19,24,10,58,18256,28958,28958,Nebraska,Plains,Private,Large City,410,341,69,9,10,52,23,30,48,100,100,44,44
Graceland University-Lamoni,1981,994,326,25,75,390,520,18,24,0,50,23530,35380,35380,Iowa,Plains,Private,Remote Rural,1559,1293,266,9,7,57,30,44,47,100,100,45,45
Grambling State University,4545,1983,714,17,86,380,480,16,20,15,44,5950,22720,31888,Louisiana,Southeast,Public,Distant Town,4155,3860,295,91,1,60,7,24,31,96,96,96,83
Grand Valley State University,18122,14969,4078,3,98,470,590,21,26,0,83,10716,22432,27104,Michigan,Great Lakes,Public,Large Suburb,21235,18686,2549,5,4,58,33,63,70,88,73,34,34
Grand View University,807,770,298,8,94,380,450,19,23,1,95,22628,33616,33616,Iowa,Plains,Private,Midsize City,2096,1728,368,8,3,58,28,44,48,100,100,42,42
Greensboro College,1314,1029,200,83,43,390,500,15,21,0,78,26306,39376,39376,North Carolina,Southeast,Private,Large City,974,771,203,28,2,51,15,28,31,100,100,70,46
Greenville College,1723,1132,277,19,81,432,550,19,25,0,66,23612,34641,34641,Illinois,Great Lakes,Private,Distant Town,1129,1090,39,8,4,48,41,50,50,98,98,38,38
Grinnell College,3979,1395,423,49,51,620,730,28,32,0,35,43656,56354,56354,Iowa,Plains,Private,Remote Town,1721,1664,57,6,8,54,81,85,86,90,87,22,22
Guilford College,3030,2066,407,65,28,460,610,20,26,0,68,32470,45395,45395,North Carolina,Southeast,Private,Large City,2302,1928,374,24,5,56,49,55,57,99,98,41,38
Gustavus Adolphus College,4804,3037,610,6,70,550,680,24,30,0,63,39120,50110,50110,Minnesota,Plains,Private,Fringe Town,2449,2423,26,2,3,54,81,82,82,99,97,24,24
Gwynedd Mercy University,1232,812,211,97,17,430,520,16,22,261,66,29450,42030,42030,Pennsylvania,Mid East,Private,Large Suburb,2062,1851,211,24,4,75,50,63,63,100,100,35,35
Hamilton College,5017,1364,491,58,25,640,730,29,33,0,27,46080,59590,59590,New York,Mid East,Private,Fringe Rural,1926,1905,21,4,8,51,90,92,93,58,54,18,18
Hamline University,3427,2247,536,11,94,480,640,21,27,0,66,35108,46398,46398,Minnesota,Plains,Private,Large City,2164,2087,77,6,6,58,60,64,66,100,100,41,41
Hampden-Sydney College,2623,1439,293,100,20,495,600,22,27,0,55,37352,51577,51577,Virginia,Southeast,Private,Distant Rural,1070,1068,2,8,2,0,60,62,62,100,100,24,24
Hampton University,15337,5529,1004,55,42,460,550,18,23,5,36,20724,33854,33854,Virginia,Southeast,Private,Midsize City,3742,3491,251,92,1,64,50,64,68,90,71,40,40
Hannibal-LaGrange University,703,479,173,3,79,420,620,19,25,46,68,18770,29258,29258,Missouri,Plains,Private,Remote Town,1198,874,324,3,1,58,46,59,61,93,93,46,46
Hanover College,3174,2118,334,53,44,490,600,23,28,0,67,31760,44150,44150,Indiana,Great Lakes,Private,Distant Town,1163,1158,5,4,2,57,68,71,72,100,100,36,36
Harding University,2180,1663,1041,29,87,490,630,22,28,0,76,16170,26634,26634,Arkansas,Southeast,Private,Distant Town,4428,4105,323,4,3,54,40,59,62,98,96,28,28
Hardin-Simmons University,2091,786,415,64,68,450,550,20,25,0,38,23460,33626,33626,Texas,Southwest,Private,Midsize City,1772,1556,216,6,14,52,34,50,51,98,97,48,34
Hartwick College,5392,4542,528,50,15,500,620,23,27,0,84,38930,50815,50815,New York,Mid East,Private,Remote Town,1618,1579,39,6,6,59,54,57,57,100,100,36,36
Harvard University,35023,2047,1659,86,38,700,800,32,35,9,6,42292,59950,59950,Massachusetts,New England,Private,Midsize City,10534,7240,3294,6,9,50,87,95,97,75,58,15,15
Harvey Mudd College,3539,643,217,89,41,680,760,32,35,0,18,46509,63860,63860,California,Far West,Private,Large Suburb,807,805,2,1,9,46,86,89,91,75,71,16,16
Hastings College,1529,1126,345,7,99,450,540,21,26,0,74,25520,37152,37152,Nebraska,Plains,Private,Distant Town,1118,1060,58,3,5,49,43,56,58,100,100,32,32
Haverford College,3585,842,330,77,40,660,750,30,33,0,23,45426,61898,61898,Pennsylvania,Mid East,Private,Large Suburb,1187,1187,0,6,8,52,91,93,93,57,50,16,16
Hawaii Pacific University,4207,2697,591,58,36,430,550,19,25,146,64,20180,36590,36590,Hawaii,Far West,Private,Large City,5582,3719,1863,5,13,56,19,35,40,95,91,38,38
Henderson State University,3350,2084,704,3,94,460,538,19,24,0,62,7580,18934,25054,Arkansas,Southeast,Public,Distant Town,3199,2878,321,24,4,56,14,25,29,98,95,60,57
Hendrix College,1928,1550,436,45,82,530,680,26,32,0,80,37816,52536,52536,Arkansas,Southeast,Private,Small City,1431,1422,9,4,5,55,63,68,70,100,100,20,20
High Point University,7663,4918,1257,85,42,490,580,21,26,0,64,30715,43900,43900,North Carolina,Southeast,Private,Midsize City,3999,3953,46,6,3,59,58,62,62,73,68,11,11
Hiram College,2542,1458,290,22,86,430,600,19,25,0,57,30290,43145,43145,Ohio,Great Lakes,Private,Fringe Town,1283,1117,166,13,4,55,57,65,65,100,100,45,45
Hofstra University,22733,13346,1488,72,27,530,630,23,28,0,59,37400,54289,54289,New York,Mid East,Private,Large Suburb,6826,6378,448,9,13,53,50,61,62,96,95,23,23
Hollins University,824,571,148,81,47,500,640,21,27,0,69,33320,48180,48180,Virginia,Southeast,Private,Midsize Suburb,580,561,19,10,6,99,56,59,60,100,100,34,34
Holy Cross College,715,517,157,46,50,440,550,19,26,1,72,25450,37484,37484,Indiana,Great Lakes,Private,Large Suburb,524,496,28,6,9,37,42,45,45,100,100,30,30
Holy Family University,1350,1024,297,94,8,420,510,16,22,14,76,27100,41960,41960,Pennsylvania,Mid East,Private,Large City,2182,1499,683,7,6,74,38,52,54,100,99,39,39
Holy Names University,561,318,87,97,40,410,500,17,21,0,57,33020,49041,49041,California,Far West,Private,Large City,888,677,211,20,28,69,25,32,35,100,100,48,48
Hood College,1686,1366,281,93,25,450,580,18,25,0,81,33280,48830,48830,Maryland,Mid East,Private,Small City,1388,1266,122,12,8,66,55,65,66,98,98,29,27
Hope College,4161,3018,822,14,90,520,660,24,29,0,73,28720,40050,40050,Michigan,Great Lakes,Private,Small City,3388,3235,153,2,7,60,68,76,78,94,92,21,21
Hope International University,408,191,78,91,37,433,538,17,22,20,47,26050,39537,39537,California,Far West,Private,Large Suburb,925,678,247,8,17,55,27,38,44,98,98,51,51
Houghton College,807,735,223,83,38,490,630,21,28,2,91,27728,39590,39590,New York,Mid East,Private,Remote Rural,1081,1023,58,3,2,64,65,72,73,100,100,45,44
Houston Baptist University,5872,4297,1135,75,24,470,580,21,27,0,73,27930,39001,39001,Texas,Southwest,Private,Large City,2171,2005,166,19,26,63,24,40,44,100,100,51,51
Howard Payne University,1585,853,347,73,57,420,520,18,22,3,54,23200,33853,33853,Texas,Southwest,Private,Remote Town,1100,983,117,9,19,47,30,42,42,99,99,45,45
Howard University,11687,5762,1394,76,48,490,590,21,26,0,49,22683,41643,41643,District of Columbia,Mid East,Private,Large City,6974,6495,479,91,0,67,40,56,61,93,76,47,47
Humboldt State University,9978,8000,1237,93,37,450,580,18,24,0,80,7144,22556,33716,California,Far West,Public,Remote Town,7767,7256,511,4,27,53,11,29,40,74,61,46,46
Huntingdon College,1470,923,261,16,93,420,500,19,24,0,63,23500,33885,33885,Alabama,Southeast,Private,Midsize City,1110,902,208,19,2,50,30,40,43,100,100,48,48
Huntington University,784,763,227,68,64,440,570,21,27,5,97,24040,35520,35520,Indiana,Great Lakes,Private,Distant Town,1053,960,93,2,3,57,57,61,62,99,97,36,36
Husson University,1581,1263,444,99,5,420,530,17,21,26,80,15130,26286,26286,Maine,New England,Private,Small City,2350,1868,482,4,1,59,25,40,45,79,78,29,29
Huston-Tillotson University,1778,816,211,72,32,350,450,13,17,0,46,13494,27044,27044,Texas,Southwest,Private,Large City,926,840,86,73,18,53,10,23,26,97,92,74,74
Illinois College,2560,1569,270,10,85,410,540,19,25,0,61,27800,39040,39040,Illinois,Great Lakes,Private,Distant Town,1010,981,29,12,7,50,56,63,64,100,100,36,36
Illinois Institute of Technology,2840,1618,465,27,74,520,640,25,30,0,57,40117,54677,54677,Illinois,Great Lakes,Private,Large City,2926,2712,214,7,14,30,32,57,63,100,100,36,34
Illinois Wesleyan University,3556,2076,529,15,89,510,620,25,30,0,58,39316,50352,50352,Illinois,Great Lakes,Private,Small City,2009,2001,8,5,6,56,72,77,78,99,98,22,22
Immaculata University,1650,1314,247,97,17,420,530,18,21,15,80,30740,49130,49130,Pennsylvania,Mid East,Private,Large Suburb,2560,1184,1376,16,5,76,39,45,48,100,100,27,27
Indiana State University,11019,9152,2661,74,41,400,510,16,22,11,83,8256,20619,30355,Indiana,Great Lakes,Public,Small City,10268,9131,1137,18,3,54,22,37,42,92,82,53,53
Indiana University of Pennsylvania-Main Campus,9367,8476,2741,94,16,440,530,17,22,8,90,9080,23920,35056,Pennsylvania,Mid East,Public,Distant Town,12668,11944,724,10,3,55,31,47,51,88,53,40,40
Indiana University-Bloomington,37826,27300,7604,72,64,520,630,24,30,20,72,10209,23820,45961,Indiana,Great Lakes,Public,Small City,36862,31050,5812,4,4,51,58,74,77,71,53,19,19
Indiana University-East,1219,656,404,67,46,410,520,18,23,0,54,6639,,,Indiana,Great Lakes,Public,Fringe Rural,4326,1948,2378,3,2,65,9,20,24,91,74,57,57
Indiana University-Kokomo,1066,784,508,85,20,430,520,18,23,29,74,6675,,,Indiana,Great Lakes,Public,Small City,3981,2012,1969,4,4,64,7,20,28,82,58,43,43
Indiana University-Northwest,1773,1352,830,68,39,390,510,17,23,124,76,6739,,,Indiana,Great Lakes,Public,Small City,5904,3221,2683,17,16,66,8,19,24,79,58,44,44
Indiana University-Purdue University-Fort Wayne,3702,3076,1660,91,36,440,540,19,24,320,83,7013,23481,33313,Indiana,Great Lakes,Public,Large City,12928,7418,5510,5,5,55,6,17,25,87,59,43,43
Indiana University-Purdue University-Indianapolis,12230,8510,3796,84,41,440,550,19,25,160,70,8756,21680,42495,Indiana,Great Lakes,Public,Large City,22409,16760,5649,11,5,57,15,34,42,85,63,40,40
Indiana University-South Bend,2456,1720,921,83,16,430,530,18,23,45,70,6816,19080,30042,Indiana,Great Lakes,Public,Midsize City,7512,3984,3528,6,7,61,6,19,26,86,66,48,48
Indiana University-Southeast,2097,1666,1026,64,48,420,530,17,23,81,79,6700,19610,30688,Indiana,Great Lakes,Public,Large Suburb,6148,3665,2483,6,3,58,9,23,30,80,57,45,45
Indiana Wesleyan University,3441,3274,1437,63,69,470,580,21,27,795,95,23628,34588,34588,Indiana,Great Lakes,Private,Distant Town,10766,9581,1185,17,3,67,55,69,71,80,73,43,43
Iona College,5911,5445,922,83,16,450,550,20,24,0,92,32770,49295,49295,New York,Mid East,Private,Large Suburb,3539,3110,429,7,17,54,53,61,63,98,98,31,31
Iowa State University,16539,13648,5366,8,93,460,620,22,28,0,83,7726,18920,31472,Iowa,Plains,Public,Small City,27659,26177,1482,3,4,43,38,63,68,88,76,22,21
Iowa Wesleyan College,1319,793,103,6,95,453,468,19,24,0,60,25550,38738,38738,Iowa,Plains,Private,Remote Town,599,482,117,6,5,64,17,29,30,100,100,59,59
Jacksonville State University,3083,2567,1158,18,89,430,540,19,26,0,83,7092,21237,28029,Alabama,Southeast,Public,Small City,7588,5779,1809,25,1,58,10,25,31,93,83,48,48
Jacksonville University,3498,1657,528,60,41,450,550,19,24,0,47,29900,44670,44670,Florida,Southeast,Private,Large City,3425,2201,1224,16,7,62,24,37,38,99,99,37,37
James Madison University,22648,14394,4325,94,32,520,620,23,27,0,64,9176,22740,37218,Virginia,Southeast,Public,Small City,18431,17526,905,4,5,59,65,80,81,60,25,13,12
John Brown University,1143,798,305,30,82,500,640,22,28,2,70,22734,34776,34776,Arkansas,Southeast,Private,Distant Town,2080,1571,509,2,5,56,55,65,65,99,95,42,31
John Carroll University,3721,3101,793,48,79,490,590,22,27,0,83,34480,48310,48310,Ohio,Great Lakes,Private,Large Suburb,3040,2950,90,5,4,48,65,74,75,100,100,26,26
Johns Hopkins University,21336,3869,1390,79,39,650,740,30,34,0,18,45470,61502,61502,Maryland,Mid East,Private,Large City,6117,5865,252,6,10,51,87,91,93,61,48,17,15
Johnson C Smith University,4777,1752,232,78,50,363,470,15,19,0,37,18236,32136,32136,North Carolina,Southeast,Private,Large City,1387,1323,64,73,6,59,32,40,44,89,83,61,61
Johnson State College,864,837,225,80,13,430,540,15,23,7,97,10286,21774,33438,Vermont,New England,Public,Distant Rural,1486,956,530,2,3,64,17,34,37,92,80,53,48
Judson College,268,198,68,10,94,550,640,19,24,20,74,15630,28840,28840,Alabama,Southeast,Private,Remote Rural,347,262,85,14,1,95,38,41,41,100,100,82,64
Judson University,737,521,201,11,88,460,540,18,27,0,71,27530,40020,40020,Illinois,Great Lakes,Private,Midsize City,1066,783,283,6,10,56,32,46,50,100,99,24,24
Kalamazoo College,2528,1691,454,28,81,550,670,25,30,0,67,39450,50800,50800,Michigan,Great Lakes,Private,Small City,1458,1446,12,4,8,56,72,77,77,100,98,22,22
Kansas Wesleyan University,689,370,151,22,76,420,510,20,24,1,54,23800,36400,36400,Kansas,Plains,Private,Remote Town,684,624,60,7,13,54,31,39,43,99,99,33,33
Kennesaw State University,9471,5355,3194,67,45,500,590,21,24,0,57,5818,24659,34739,Georgia,Southeast,Public,Large Suburb,22621,16869,5752,18,7,58,15,35,43,90,81,36,36
Kent State University at Kent,15970,13259,4111,26,83,470,570,20,25,0,83,9816,24926,32886,Ohio,Great Lakes,Public,Large Suburb,22968,18533,4435,8,3,59,28,46,52,91,81,37,36
Kentucky Christian University,590,303,135,18,87,360,510,18,24,0,51,17418,30256,30256,Kentucky,Southeast,Private,Distant Town,559,494,65,11,1,46,18,36,39,100,100,52,52
Kentucky State University,6399,2415,506,12,93,350,450,16,20,44,38,6276,17506,26302,Kentucky,Southeast,Public,Distant Town,2370,1813,557,56,1,59,7,15,18,89,83,76,75
Kentucky Wesleyan College,1006,675,163,20,88,440,540,19,25,0,67,21200,32190,32190,Kentucky,Southeast,Private,Small City,657,621,36,12,2,48,25,36,38,100,100,50,48
Kenyon College,4054,1556,483,65,45,630,720,28,32,0,38,45640,60070,60070,Ohio,Great Lakes,Private,Distant Town,1705,1695,10,3,5,54,86,89,89,64,59,10,10
Kettering University,2140,1318,372,17,92,490,630,24,29,0,62,35600,51277,51277,Michigan,Great Lakes,Private,Midsize City,1684,1590,94,3,3,18,11,52,61,100,100,30,30
Keystone College,1120,807,321,95,10,400,500,17,21,36,72,21300,35500,35500,Pennsylvania,Mid East,Private,Large Suburb,1574,1304,270,5,3,59,26,35,39,98,98,54,54
King University,933,595,210,38,68,450,560,20,25,0,64,24960,37758,37758,Tennessee,Southeast,Private,Small City,2191,2040,151,5,2,65,45,51,52,92,91,49,48
Kutztown University of Pennsylvania,7785,6367,1815,97,12,430,520,18,22,0,82,8819,22265,32389,Pennsylvania,Mid East,Public,Fringe Town,8815,8279,536,7,6,57,34,51,55,87,46,35,34
Kuyper College,152,104,37,13,87,420,550,18,25,6,68,18454,27970,27970,Michigan,Great Lakes,Private,Large Suburb,288,247,41,5,3,52,37,37,38,99,99,57,57
La Roche College,1488,828,229,69,19,400,520,17,24,20,56,24778,38434,38434,Pennsylvania,Mid East,Private,Large Suburb,1363,1130,233,7,1,57,33,43,45,91,84,45,45
La Salle University,5547,4449,939,89,15,440,550,19,25,47,80,38200,51770,51770,Pennsylvania,Mid East,Private,Large City,4409,3542,867,19,10,65,55,64,65,99,98,44,44
La Sierra University,3479,1627,477,87,29,400,510,17,22,0,47,29103,41490,41490,California,Far West,Private,Large City,2105,1912,193,7,41,58,30,53,59,100,100,55,55
Lafayette College,6766,2310,635,77,39,570,670,27,31,0,34,44670,59750,59750,Pennsylvania,Mid East,Private,Large Suburb,2486,2435,51,5,6,47,85,88,88,63,52,9,9
LaGrange College,1648,962,271,65,56,460,550,19,23,0,58,25690,40288,40288,Georgia,Southeast,Private,Distant Town,856,786,70,23,2,54,31,37,38,99,99,46,46
Lake Erie College,1158,644,205,33,80,430,520,19,23,0,56,27368,40364,40364,Ohio,Great Lakes,Private,Large Suburb,922,852,70,10,2,49,28,43,45,100,100,41,41
Lake Forest College,3684,2110,403,23,78,510,620,23,28,0,57,39842,52000,52000,Illinois,Great Lakes,Private,Large Suburb,1590,1571,19,6,14,58,58,63,64,99,99,35,35
Lake Superior State University,1481,1360,418,5,91,460,570,20,25,117,92,9960,21788,26708,Michigan,Great Lakes,Public,Remote Town,2429,1967,462,2,2,50,17,36,42,97,87,45,45
Lakeland College,885,586,218,3,98,410,520,19,24,0,66,22950,35460,35460,Wisconsin,Great Lakes,Private,Fringe Rural,2972,1024,1948,5,4,56,36,48,51,99,99,49,49
Lamar University,4788,3678,1451,87,36,430,530,18,23,30,77,7429,21769,30265,Texas,Southwest,Public,Midsize City,9382,6604,2778,30,11,58,13,27,34,81,72,53,53
Lander University,3349,1412,569,55,45,413,530,18,22,0,42,10100,22300,31336,South Carolina,Southeast,Public,Distant Town,2792,2586,206,33,1,69,32,48,52,99,97,51,51
Lane College,4589,2256,405,1,90,360,510,13,16,0,49,9180,18900,18900,Tennessee,Southeast,Private,Small City,1554,1534,20,100,0,48,20,27,31,99,99,94,94
