Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Ashland University,2931,2180,623,11,94,430,550,20,25,4,74,29836,42833,42833,Ohio,Great Lakes,Private,Fringe Town,3198,2389,809,13,2,51,42,54,56,97,97,37,37
Auburn University,15745,13027,3726,17,83,520,620,24,30,0,83,9852,25282,41794,Alabama,Southeast,Public,Small City,19799,18011,1788,7,3,49,38,63,68,76,68,13,13
Augsburg College,2072,1261,380,6,93,495,623,20,25,0,61,33209,45465,45465,Minnesota,Plains,Private,Large City,2716,2038,678,9,6,55,47,62,64,99,99,46,46
Aurora University,2536,1926,646,7,93,460,560,19,24,0,76,20720,33228,33228,Illinois,Great Lakes,Private,Large Suburb,3246,2852,394,9,20,63,44,56,58,100,100,43,43
Austin College,3141,1841,364,55,52,540,660,23,27,0,59,33830,47625,47625,Texas,Southwest,Private,Small City,1207,1204,3,6,16,51,67,72,72,99,99,30,30
Austin Peay State University,3332,2864,1522,3,89,430,540,19,24,312,86,6876,21513,36009,Tennessee,Southeast,Public,Midsize City,9550,6866,2684,19,6,60,15,30,36,99,92,56,56
Ave Maria University,1611,960,254,69,64,460,620,20,26,0,60,23000,36860,36860,Florida,Southeast,Private,Distant Rural,906,890,16,6,15,48,55,58,58,100,100,31,31
Averett University,2356,1491,241,83,35,420,520,17,22,0,63,27500,39124,39124,Virginia,Southeast,Private,Remote Town,877,851,26,24,4,50,18,27,33,100,100,58,53
Avila University,1629,995,182,6,94,400,580,20,24,0,61,24950,36414,36414,Missouri,Plains,Private,Large City,1401,1124,277,19,7,65,26,47,49,100,100,42,42
Azusa Pacific University,5329,4255,1250,86,42,490,600,21,27,0,80,32256,45996,45996,California,Far West,Private,Large Suburb,6543,5683,860,5,23,64,47,63,65,92,89,26,26
Bacone College,2445,1756,249,24,65,350,485,15,19,68,72,14050,28010,28010,Oklahoma,Southwest,Private,Distant Town,965,851,114,30,8,37,0,2,3,88,83,83,83
Baker University,870,756,235,9,100,440,545,21,26,110,87,25580,39407,39407,Kansas,Plains,Private,Fringe Town,1897,1069,828,10,5,57,36,49,52,100,100,26,26
Baldwin Wallace University,4220,2699,762,34,78,470,610,21,27,0,64,27840,39230,39230,Ohio,Great Lakes,Private,Large Suburb,3425,3003,422,9,5,55,55,69,71,100,100,41,41
Ball State University,17118,10364,3616,58,41,490,590,20,24,49,61,9160,22250,37214,Indiana,Great Lakes,Public,Small City,16300,15128,1172,7,3,58,35,56,60,87,64,35,35
